id,category_id,size_id,fuel_id,emission_value,unit
1,1,1,1,0.143400,km
2,1,2,2,0.143080,km
3,1,3,3,0.114130,km
4,1,4,4,0.030080,km
5,1,5,5,0.000000,km
6,1,6,1,0.171740,km
7,1,7,2,0.174740,km
8,1,8,3,0.117240,km
9,1,9,4,0.077890,km
10,1,10,5,0.000000,km
11,1,11,1,0.210070,km
12,1,12,2,0.268280,km
13,1,13,3,0.156500,km
14,1,14,4,0.100330,km
15,1,15,5,0.000000,km
16,1,16,1,0.173040,km
17,1,17,2,0.162720,km
18,1,18,3,0.128250,km
19,1,19,4,0.091670,km
20,1,20,5,0.000000,km
21,2,21,2,0.083190,km
22,2,22,2,0.101070,km
23,2,23,2,0.132520,km
24,2,24,2,0.113670,km
